peer_pub_key,direction,filename,size_gb,sha256,date_shared
<some-public-key-Q>,INBOUND,q-shared-with-me-1.txt,0.5,<some-hash-QS1>,2024-12-03
<some-public-key-Q>,OUTBOUND,i-shared-with-q-1.txt,2,<some-hash-IQ1>,2024-12-03
<some-public-key-D>,INBOUND,d-shared-with-me-1.pdf,0.8,<some-hash-DS1>,2024-12-06
<some-public-key-D>,INBOUND,d-shared-with-me-2.csv,4,<some-hash-DS2>,2024-12-08
<some-public-key-A>,OUTBOUND,i-shared-with-a-1.csv,0.3,<some-hash-IA1>,2024-12-09
<some-public-key-B>,INBOUND,b-shared-with-me-1.csv,0.5,<some-hash-BS1>,2024-12-09
<some-public-key-C>,INBOUND,c-shared-with-me-1.csv,0.1,<some-hash-CS1>,2024-12-11
<some-public-key-G>,OUTBOUND,i-shared-with-g-1.csv,1,<some-hash-IG1>,2024-12-24
<some-public-key-F>,OUTBOUND,i-shared-with-f-1.pdf,1,<some-hash-IF1>,2024-12-31
<some-public-key-E>,INBOUND,e-shared-with-me-1.csv,1,<some-hash-ES1>,2025-01-02
<some-public-key-E>,INBOUND,e-shared-with-me-2.csv,1.2,<some-hash-ES2>,2024-01-02
<some-public-key-E>,INBOUND,e-shared-with-me-3.csv,2.4,<some-hash-ES2>,2024-01-04
<some-public-key-A>,INBOUND,a-shared-with-me-1.xlsx,0.8,<some-hash-AS1>,2025-01-04
<some-public-key-B>,INBOUND,b-shared-with-me-2.csv,0.7,<some-hash-BS2>,2025-01-04
<some-public-key-C>,INBOUND,c-shared-with-me-2.csv,1.5,<some-hash-CS2>,2025-01-08
<some-public-key-F>,OUTBOUND,i-shared-with-f-2.pdf,4.1,<some-hash-IF2>,2025-01-09
<some-public-key-E>,OUTBOUND,i-shared-with-e-1.pdf,2,<some-hash-IE1>,2025-01-15
<some-public-key-G>,OUTBOUND,i-shared-with-g-2.pdf,0.2,<some-hash-IG2>,2025-01-17








